id,numero_orden,proveedor_id,fecha_orden,estado,cedi_id,franja_id,total,fecha_entrega,fecha_confirmacion,idempotency_key
46,OC-000000000046,2,2025-07-10 08:58:12,PENDIENTE,10,506,911262.23,2025-07-20,,IDEMP-000000000046
47,OC-000000000047,16,2024-03-11 23:40:45,ENTREGADA,10,866,1140602.37,2024-03-14,2024-03-12 02:40:45,IDEMP-000000000047
48,OC-000000000048,2,2025-05-07 09:04:39,CONFIRMADA,4,924,4323590.92,2025-05-16,,IDEMP-000000000048
49,OC-000000000049,3,2025-07-05 08:07:22,ENTREGADA,9,942,1843469.42,2025-07-15,2025-07-05 20:07:22,IDEMP-000000000049
50,OC-000000000050,57,2025-09-09 09:27:24,ENTREGADA,2,50,3731400.97,2025-09-11,2025-09-09 14:27:24,IDEMP-000000000050
51,OC-000000000051,1,2025-10-23 16:02:50,ENTREGADA,3,37,237921.02,2025-10-24,2025-10-24 14:02:50,IDEMP-000000000051
52,OC-000000000052,1,2024-12-07 09:18:17,CANCELADA,2,54,4020506.09,2024-12-14,,IDEMP-000000000052
53,OC-000000000053,2,2025-11-06 09:12:25,CONFIRMADA,9,911,1349158.63,2025-11-12,,IDEMP-000000000053
54,OC-000000000054,18,2024-12-20 08:52:44,ENTREGADA,7,614,4902940.6,2024-12-23,2024-12-21 05:52:44,IDEMP-000000000054
55,OC-000000000055,1,2025-01-20 09:11:06,CONFIRMADA,3,661,4180376.32,2025-01-23,,IDEMP-000000000055
56,OC-000000000056,2,2025-11-30 10:31:55,ENTREGADA,5,492,3951904.33,2025-12-09,2025-11-30 15:31:55,IDEMP-000000000056
57,OC-000000000057,1,2024-11-23 08:59:12,CONFIRMADA,7,711,4638850.3,2024-12-02,,IDEMP-000000000057
58,OC-000000000058,38,2025-07-09 10:50:21,ENTREGADA,1,292,4455412.91,2025-07-11,2025-07-09 15:50:21,IDEMP-000000000058
59,OC-000000000059,12,2025-03-30 08:32:00,CANCELADA,1,20,2451953.22,2025-04-08,,IDEMP-000000000059
60,OC-000000000060,45,2025-02-12 10:35:22,ENTREGADA,5,942,1342606.05,2025-02-20,2025-02-13 05:35:22,IDEMP-000000000060
61,OC-000000000061,2,2025-08-20 23:58:36,ENTREGADA,6,796,3945187.69,2025-08-30,2025-08-21 11:58:36,IDEMP-000000000061
62,OC-000000000062,13,2024-11-09 08:40:20,CONFIRMADA,4,846,1515967.03,2024-11-12,,IDEMP-000000000062
63,OC-000000000063,1,2025-11-14 12:00:09,ENTREGADA,4,846,696197.38,2025-11-21,2025-11-15 02:00:09,IDEMP-000000000063
64,OC-000000000064,17,2024-09-04 10:42:58,ENTREGADA,4,788,319536.67,2024-09-13,2024-09-05 06:42:58,IDEMP-000000000064
65,OC-000000000065,1,2024-09-08 19:38:38,CANCELADA,5,159,2604014.79,2024-09-12,,IDEMP-000000000065
66,OC-000000000066,4,2024-01-22 09:38:16,PENDIENTE,10,912,3266598.26,2024-01-27,,IDEMP-000000000066
67,OC-000000000067,13,2024-12-21 02:14:53,ENTREGADA,4,544,1241794.26,2024-12-30,2024-12-21 14:14:53,IDEMP-000000000067
68,OC-000000000068,2,2024-02-18 09:38:33,ENTREGADA,8,849,4413121.15,2024-02-19,2024-02-18 11:38:33,IDEMP-000000000068
69,OC-000000000069,7,2025-03-17 09:01:01,ENTREGADA,3,778,2218908.84,2025-03-19,2025-03-17 19:01:01,IDEMP-000000000069
70,OC-000000000070,1,2024-03-10 18:09:42,ENTREGADA,4,868,905724.75,2024-03-14,2024-03-11 02:09:42,IDEMP-000000000070
71,OC-000000000071,14,2024-08-08 09:52:31,ENTREGADA,5,272,3306526.94,2024-08-10,2024-08-08 18:52:31,IDEMP-000000000071
72,OC-000000000072,47,2024-07-26 09:11:48,ENTREGADA,7,116,2059733.95,2024-07-27,2024-07-26 17:11:48,IDEMP-000000000072
73,OC-000000000073,1,2024-08-13 18:29:49,CANCELADA,8,968,4922007.5,2024-08-16,,IDEMP-000000000073
74,OC-000000000074,15,2025-03-27 10:27:15,CANCELADA,9,698,3978164.86,2025-04-04,,IDEMP-000000000074
75,OC-000000000075,1,2024-07-21 17:05:07,CONFIRMADA,4,730,4261547.25,2024-07-28,,IDEMP-000000000075
76,OC-000000000076,24,2025-07-24 10:13:09,ENTREGADA,2,914,1955521.68,2025-07-25,2025-07-24 19:13:09,IDEMP-000000000076
77,OC-000000000077,65,2025-02-13 10:11:59,ENTREGADA,4,50,684078.35,2025-02-20,2025-02-14 09:11:59,IDEMP-000000000077
78,OC-000000000078,1,2024-06-02 09:19:46,CONFIRMADA,7,542,1221907.35,2024-06-08,,IDEMP-000000000078
79,OC-000000000079,1,2024-12-08 08:32:09,ENTREGADA,9,381,2805716.59,2024-12-17,2024-12-09 05:32:09,IDEMP-000000000079
80,OC-000000000080,1,2024-04-12 09:45:27,ENTREGADA,8,511,1231511.87,2024-04-17,2024-04-12 20:45:27,IDEMP-000000000080
81,OC-000000000081,9,2025-10-16 08:07:47,ENTREGADA,5,570,2999532.87,2025-10-24,2025-10-17 03:07:47,IDEMP-000000000081
82,OC-000000000082,3,2024-12-19 09:09:38,CONFIRMADA,9,940,3990370.63,2024-12-21,,IDEMP-000000000082
83,OC-000000000083,1,2025-01-06 10:10:15,ENTREGADA,1,398,1167992.57,2025-01-11,2025-01-06 12:10:15,IDEMP-000000000083
84,OC-000000000084,1,2025-04-28 08:49:28,CONFIRMADA,8,821,1009469.72,2025-05-04,,IDEMP-000000000084
85,OC-000000000085,1,2025-07-23 09:20:59,ENTREGADA,8,81,931739.01,2025-07-24,2025-07-24 00:20:59,IDEMP-000000000085
86,OC-000000000086,11,2025-09-25 12:40:01,PENDIENTE,10,364,2946025.51,2025-09-30,,IDEMP-000000000086
87,OC-000000000087,4,2024-09-27 08:10:53,PENDIENTE,1,798,1615687.27,2024-09-28,,IDEMP-000000000087
88,OC-000000000088,24,2025-07-21 09:24:14,ENTREGADA,9,900,1186856.65,2025-07-26,2025-07-21 17:24:14,IDEMP-000000000088
89,OC-000000000089,6,2025-07-21 10:41:30,ENTREGADA,4,254,3060324.02,2025-07-29,2025-07-21 20:41:30,IDEMP-000000000089
90,OC-000000000090,1,2024-11-15 00:21:21,CONFIRMADA,7,501,2537848.69,2024-11-17,,IDEMP-000000000090
91,OC-000000000091,42,2025-03-21 09:10:51,ENTREGADA,1,800,2406666.6,2025-03-27,2025-03-21 11:10:51,IDEMP-000000000091
92,OC-000000000092,4,2025-10-09 10:04:29,CANCELADA,3,528,4065517.36,2025-10-19,,IDEMP-000000000092
93,OC-000000000093,3,2024-11-11 08:23:37,ENTREGADA,9,627,2187128.12,2024-11-18,2024-11-11 17:23:37,IDEMP-000000000093
94,OC-000000000094,1,2024-01-25 19:53:01,ENTREGADA,2,56,311379.75,2024-01-28,2024-01-26 16:53:01,IDEMP-000000000094
95,OC-000000000095,2,2025-08-11 08:40:48,CONFIRMADA,3,828,2004967.86,2025-08-16,,IDEMP-000000000095
96,OC-000000000096,17,2025-12-26 15:12:57,ENTREGADA,9,218,2943950.91,2025-12-28,2025-12-27 02:12:57,IDEMP-000000000096
97,OC-000000000097,3,2024-01-27 10:23:29,ENTREGADA,8,305,2615302.63,2024-02-05,2024-01-28 08:23:29,IDEMP-000000000097
98,OC-000000000098,1,2025-01-26 08:40:42,ENTREGADA,2,686,3553998.99,2025-02-01,2025-01-26 15:40:42,IDEMP-000000000098
99,OC-000000000099,1,2025-06-20 08:16:37,ENTREGADA,5,249,1247341.11,2025-06-23,2025-06-21 02:16:37,IDEMP-000000000099
100,OC-000000000100,1,2024-03-03 09:18:27,ENTREGADA,6,201,2079796.72,2024-03-09,2024-03-04 05:18:27,IDEMP-000000000100
101,OC-000000000101,1,2025-11-06 23:18:09,ENTREGADA,6,737,2744510.69,2025-11-13,2025-11-07 23:18:09,IDEMP-000000000101
102,OC-000000000102,13,2025-11-16 09:58:04,ENTREGADA,6,460,2906514.06,2025-11-26,2025-11-17 04:58:04,IDEMP-000000000102
103,OC-000000000103,5,2024-10-02 10:17:41,ENTREGADA,7,36,2875630.16,2024-10-06,2024-10-02 12:17:41,IDEMP-000000000103
104,OC-000000000104,8,2024-11-06 10:42:01,CONFIRMADA,6,45,4186132.81,2024-11-13,,IDEMP-000000000104
105,OC-000000000105,2,2025-06-24 03:47:04,CANCELADA,9,987,291832.47,2025-07-04,,IDEMP-000000000105
106,OC-000000000106,7,2024-03-10 09:56:53,ENTREGADA,5,51,1014707.92,2024-03-17,2024-03-10 20:56:53,IDEMP-000000000106
107,OC-000000000107,3,2025-08-11 00:36:49,CONFIRMADA,3,388,465381.52,2025-08-20,,IDEMP-000000000107
108,OC-000000000108,2,2024-03-25 19:49:34,ENTREGADA,10,546,4623150.84,2024-04-04,2024-03-25 20:49:34,IDEMP-000000000108
109,OC-000000000109,17,2025-09-25 14:53:01,ENTREGADA,10,189,605229.22,2025-10-01,2025-09-26 01:53:01,IDEMP-000000000109
110,OC-000000000110,4,2025-12-01 07:38:18,ENTREGADA,4,725,2528886.83,2025-12-11,2025-12-01 08:38:18,IDEMP-000000000110
111,OC-000000000111,10,2025-08-16 08:17:04,ENTREGADA,1,57,1347434.71,2025-08-21,2025-08-16 11:17:04,IDEMP-000000000111
112,OC-000000000112,12,2025-08-16 08:49:34,ENTREGADA,10,775,2775068.09,2025-08-18,2025-08-16 11:49:34,IDEMP-000000000112
113,OC-000000000113,4,2025-09-17 14:32:07,ENTREGADA,4,122,3460357.81,2025-09-20,2025-09-17 18:32:07,IDEMP-000000000113
114,OC-000000000114,9,2024-12-03 09:43:19,ENTREGADA,9,66,526428.4,2024-12-05,2024-12-03 10:43:19,IDEMP-000000000114
115,OC-000000000115,2,2024-01-13 09:18:34,ENTREGADA,9,59,1606930.03,2024-01-21,2024-01-13 20:18:34,IDEMP-000000000115
116,OC-000000000116,1,2024-02-01 08:40:53,CONFIRMADA,4,291,1971084.82,2024-02-11,,IDEMP-000000000116
117,OC-000000000117,1,2025-08-29 02:28:42,PENDIENTE,1,290,4909560.49,2025-09-02,,IDEMP-000000000117
118,OC-000000000118,84,2025-04-12 09:35:24,ENTREGADA,2,506,2833532.59,2025-04-15,2025-04-12 17:35:24,IDEMP-000000000118
119,OC-000000000119,35,2025-01-17 09:18:58,ENTREGADA,10,205,3878754.52,2025-01-24,2025-01-17 12:18:58,IDEMP-000000000119
120,OC-000000000120,55,2025-11-29 09:58:03,ENTREGADA,10,181,1700645.83,2025-12-09,2025-11-30 07:58:03,IDEMP-000000000120
121,OC-000000000121,4,2025-11-20 08:09:09,ENTREGADA,6,501,816489.7,2025-11-23,2025-11-21 04:09:09,IDEMP-000000000121
122,OC-000000000122,31,2024-08-05 10:11:46,ENTREGADA,7,382,2709120.07,2024-08-08,2024-08-05 12:11:46,IDEMP-000000000122
123,OC-000000000123,26,2025-11-03 10:13:55,ENTREGADA,10,920,4215781.13,2025-11-10,2025-11-04 01:13:55,IDEMP-000000000123
124,OC-000000000124,8,2024-12-09 08:44:31,CONFIRMADA,2,850,2080811.02,2024-12-18,,IDEMP-000000000124
125,OC-000000000125,1,2025-10-27 08:38:04,ENTREGADA,1,350,1033251.17,2025-11-04,2025-10-28 06:38:04,IDEMP-000000000125
126,OC-000000000126,29,2025-08-21 10:15:30,CONFIRMADA,6,271,908085.23,2025-08-24,,IDEMP-000000000126
127,OC-000000000127,1,2024-09-03 09:16:40,ENTREGADA,9,482,130028.06,2024-09-08,2024-09-03 19:16:40,IDEMP-000000000127
128,OC-000000000128,1,2025-03-21 08:05:42,ENTREGADA,6,997,3358976.49,2025-03-25,2025-03-22 05:05:42,IDEMP-000000000128
129,OC-000000000129,16,2024-11-03 10:17:35,ENTREGADA,10,573,1814039.72,2024-11-09,2024-11-04 02:17:35,IDEMP-000000000129
130,OC-000000000130,3,2025-09-05 08:04:55,CONFIRMADA,6,816,957355.57,2025-09-12,,IDEMP-000000000130
131,OC-000000000131,52,2024-06-07 10:05:41,ENTREGADA,3,760,3548849.74,2024-06-10,2024-06-07 13:05:41,IDEMP-000000000131
132,OC-000000000132,4,2025-02-19 19:19:49,CONFIRMADA,9,128,2744447.65,2025-02-20,,IDEMP-000000000132
133,OC-000000000133,38,2024-06-09 18:04:45,ENTREGADA,6,899,998730.33,2024-06-11,2024-06-10 07:04:45,IDEMP-000000000133
134,OC-000000000134,1,2024-08-20 09:34:21,ENTREGADA,6,548,3034677.42,2024-08-28,2024-08-20 22:34:21,IDEMP-000000000134
135,OC-000000000135,13,2024-11-22 04:26:36,ENTREGADA,5,819,3940535.81,2024-12-01,2024-11-23 04:26:36,IDEMP-000000000135
136,OC-000000000136,1,2025-05-15 09:39:46,CONFIRMADA,8,122,650395.38,2025-05-17,,IDEMP-000000000136
137,OC-000000000137,1,2025-11-07 09:08:00,ENTREGADA,1,508,2842856.06,2025-11-10,2025-11-08 03:08:00,IDEMP-000000000137
138,OC-000000000138,1,2025-02-08 08:58:48,CONFIRMADA,2,759,4651725.04,2025-02-11,,IDEMP-000000000138
139,OC-000000000139,45,2025-01-14 08:58:16,ENTREGADA,2,503,2028203.35,2025-01-18,2025-01-14 15:58:16,IDEMP-000000000139
140,OC-000000000140,10,2025-12-22 09:27:44,ENTREGADA,5,169,1116162.55,2025-12-29,2025-12-22 14:27:44,IDEMP-000000000140
141,OC-000000000141,2,2025-06-07 19:32:51,CONFIRMADA,2,482,1216013.34,2025-06-14,,IDEMP-000000000141
142,OC-000000000142,21,2024-12-16 11:49:38,ENTREGADA,2,41,4169278.99,2024-12-22,2024-12-17 05:49:38,IDEMP-000000000142
143,OC-000000000143,2,2024-10-11 06:17:49,ENTREGADA,9,814,26452.33,2024-10-16,2024-10-12 00:17:49,IDEMP-000000000143
144,OC-000000000144,1,2025-08-14 10:00:37,CANCELADA,8,672,1120109.11,2025-08-17,,IDEMP-000000000144
145,OC-000000000145,43,2024-09-06 10:41:32,CONFIRMADA,4,271,2275996.22,2024-09-15,,IDEMP-000000000145
146,OC-000000000146,50,2024-11-20 04:15:04,ENTREGADA,7,440,4202970.14,2024-11-27,2024-11-20 06:15:04,IDEMP-000000000146
147,OC-000000000147,11,2025-04-10 09:18:36,ENTREGADA,7,173,2828369.5,2025-04-20,2025-04-10 15:18:36,IDEMP-000000000147
148,OC-000000000148,4,2024-02-21 21:28:28,CONFIRMADA,6,332,1083184.33,2024-02-28,,IDEMP-000000000148
149,OC-000000000149,7,2025-04-19 08:32:34,ENTREGADA,8,142,3621097.35,2025-04-20,2025-04-19 15:32:34,IDEMP-000000000149
150,OC-000000000150,4,2024-02-29 08:16:23,ENTREGADA,3,629,839917.09,2024-03-07,2024-03-01 01:16:23,IDEMP-000000000150
151,OC-000000000151,7,2025-12-24 08:17:24,ENTREGADA,9,915,4584042.52,2025-12-30,2025-12-24 23:17:24,IDEMP-000000000151
152,OC-000000000152,66,2025-11-22 08:47:33,CONFIRMADA,8,944,1940353.87,2025-11-25,,IDEMP-000000000152
153,OC-000000000153,1,2024-04-29 13:07:39,ENTREGADA,6,75,3738759.54,2024-05-09,2024-04-30 06:07:39,IDEMP-000000000153
154,OC-000000000154,1,2024-09-11 10:10:31,ENTREGADA,6,750,2626610.92,2024-09-15,2024-09-12 02:10:31,IDEMP-000000000154
155,OC-000000000155,3,2024-04-25 09:17:35,CONFIRMADA,10,192,1595626.39,2024-04-29,,IDEMP-000000000155
156,OC-000000000156,1,2025-12-28 08:29:36,ENTREGADA,7,326,4099816.56,2026-01-07,2025-12-28 10:29:36,IDEMP-000000000156
157,OC-000000000157,1,2025-01-25 09:16:33,ENTREGADA,8,699,2234980.39,2025-02-04,2025-01-26 07:16:33,IDEMP-000000000157
158,OC-000000000158,36,2024-01-05 10:26:43,CONFIRMADA,3,120,1591995.52,2024-01-07,,IDEMP-000000000158
159,OC-000000000159,3,2024-11-28 02:55:15,CONFIRMADA,5,869,83359.47,2024-11-29,,IDEMP-000000000159
160,OC-000000000160,1,2025-07-05 13:13:48,ENTREGADA,7,734,1912393.85,2025-07-12,2025-07-05 14:13:48,IDEMP-000000000160
161,OC-000000000161,1,2024-01-02 01:37:55,ENTREGADA,4,74,4234498.76,2024-01-04,2024-01-02 20:37:55,IDEMP-000000000161
162,OC-000000000162,3,2024-02-17 09:31:58,CONFIRMADA,4,721,4339995.62,2024-02-27,,IDEMP-000000000162
163,OC-000000000163,3,2025-05-18 10:37:05,CONFIRMADA,5,107,3363451.98,2025-05-20,,IDEMP-000000000163
164,OC-000000000164,1,2024-11-20 03:05:14,ENTREGADA,5,959,4550252.21,2024-11-25,2024-11-20 12:05:14,IDEMP-000000000164
165,OC-000000000165,17,2024-10-29 10:58:17,ENTREGADA,7,71,2593177.58,2024-10-30,2024-10-29 23:58:17,IDEMP-000000000165
166,OC-000000000166,1,2025-10-20 16:42:28,ENTREGADA,1,71,1667195.55,2025-10-25,2025-10-20 23:42:28,IDEMP-000000000166
167,OC-000000000167,52,2025-07-12 09:57:26,ENTREGADA,7,97,2413645.29,2025-07-13,2025-07-13 03:57:26,IDEMP-000000000167
168,OC-000000000168,1,2024-04-16 10:02:16,CANCELADA,2,627,2083038.41,2024-04-23,,IDEMP-000000000168
169,OC-000000000169,5,2024-09-01 09:54:53,ENTREGADA,6,702,2956693.02,2024-09-08,2024-09-01 12:54:53,IDEMP-000000000169
170,OC-000000000170,12,2024-02-13 08:41:05,ENTREGADA,5,810,1591256.92,2024-02-14,2024-02-13 18:41:05,IDEMP-000000000170
171,OC-000000000171,95,2025-10-29 08:03:10,PENDIENTE,7,545,432077.19,2025-11-06,,IDEMP-000000000171
172,OC-000000000172,1,2024-04-09 09:21:47,ENTREGADA,2,630,1796746.33,2024-04-14,2024-04-10 02:21:47,IDEMP-000000000172
173,OC-000000000173,4,2025-09-18 10:30:17,ENTREGADA,5,437,2773246.55,2025-09-23,2025-09-18 16:30:17,IDEMP-000000000173
174,OC-000000000174,3,2025-03-24 01:49:12,ENTREGADA,2,703,3260777.57,2025-03-31,2025-03-24 13:49:12,IDEMP-000000000174
175,OC-000000000175,31,2025-03-20 18:50:19,ENTREGADA,5,304,1850140.49,2025-03-29,2025-03-21 04:50:19,IDEMP-000000000175
176,OC-000000000176,3,2025-02-10 13:49:51,ENTREGADA,3,749,2768923.63,2025-02-11,2025-02-11 03:49:51,IDEMP-000000000176
177,OC-000000000177,1,2025-05-02 09:14:25,ENTREGADA,4,301,4894804.1,2025-05-07,2025-05-02 22:14:25,IDEMP-000000000177
178,OC-000000000178,1,2024-04-10 09:18:04,CONFIRMADA,1,611,808850.85,2024-04-11,,IDEMP-000000000178
179,OC-000000000179,5,2024-03-23 09:16:57,ENTREGADA,8,554,2400526.4,2024-03-29,2024-03-24 04:16:57,IDEMP-000000000179
180,OC-000000000180,12,2025-11-03 10:12:35,PENDIENTE,3,36,3790604.09,2025-11-09,,IDEMP-000000000180
181,OC-000000000181,1,2024-05-07 08:22:21,ENTREGADA,2,457,3581597.67,2024-05-08,2024-05-07 18:22:21,IDEMP-000000000181
182,OC-000000000182,2,2024-07-20 10:07:08,ENTREGADA,8,87,4300237.94,2024-07-27,2024-07-20 19:07:08,IDEMP-000000000182
183,OC-000000000183,2,2025-09-15 09:24:46,ENTREGADA,9,122,632078.59,2025-09-21,2025-09-15 18:24:46,IDEMP-000000000183
184,OC-000000000184,5,2024-07-31 06:53:04,ENTREGADA,1,701,3793532.29,2024-08-10,2024-08-01 04:53:04,IDEMP-000000000184
185,OC-000000000185,44,2024-08-12 10:32:45,CANCELADA,3,307,2844597.56,2024-08-15,,IDEMP-000000000185
186,OC-000000000186,2,2025-12-19 08:39:55,ENTREGADA,5,743,3293706.37,2025-12-22,2025-12-19 15:39:55,IDEMP-000000000186
187,OC-000000000187,46,2024-07-24 09:39:05,ENTREGADA,3,149,868916.81,2024-08-01,2024-07-24 18:39:05,IDEMP-000000000187
188,OC-000000000188,1,2024-07-06 08:40:05,ENTREGADA,7,994,4446247.87,2024-07-13,2024-07-06 20:40:05,IDEMP-000000000188
189,OC-000000000189,2,2025-01-23 10:00:14,CONFIRMADA,5,10,1758179.82,2025-01-27,,IDEMP-000000000189
190,OC-000000000190,4,2025-09-08 08:15:25,ENTREGADA,3,249,4063666.65,2025-09-15,2025-09-08 17:15:25,IDEMP-000000000190
191,OC-000000000191,1,2025-12-05 08:52:01,CONFIRMADA,2,961,2655229.33,2025-12-09,,IDEMP-000000000191
192,OC-000000000192,1,2025-08-22 10:47:09,ENTREGADA,5,915,3609849.28,2025-08-24,2025-08-22 22:47:09,IDEMP-000000000192
193,OC-000000000193,9,2025-05-24 21:12:00,ENTREGADA,2,611,4570183.47,2025-05-30,2025-05-25 09:12:00,IDEMP-000000000193
194,OC-000000000194,1,2024-05-23 05:51:11,ENTREGADA,6,52,3300044.64,2024-05-27,2024-05-23 11:51:11,IDEMP-000000000194
195,OC-000000000195,20,2024-12-16 19:03:33,CONFIRMADA,1,297,2316938.41,2024-12-24,,IDEMP-000000000195
196,OC-000000000196,81,2025-07-26 09:51:14,ENTREGADA,4,273,4642955.47,2025-08-03,2025-07-26 10:51:14,IDEMP-000000000196
197,OC-000000000197,51,2025-06-02 10:18:12,CONFIRMADA,6,89,863841.4,2025-06-07,,IDEMP-000000000197
198,OC-000000000198,2,2025-09-18 03:30:19,PENDIENTE,8,629,3671899.8,2025-09-28,,IDEMP-000000000198
