id,cedi_id,fecha,hora_inicio,hora_fin,capacidad,reservados,estado
38,8,2024-01-01,20:00:00,22:00:00,10,4,DISPONIBLE
39,9,2024-01-01,22:00:00,24:00:00,10,1,DISPONIBLE
40,10,2024-01-01,24:00:00,26:00:00,10,2,DISPONIBLE
41,1,2024-01-01,06:00:00,08:00:00,10,5,DISPONIBLE
42,2,2024-01-01,08:00:00,10:00:00,10,6,DISPONIBLE
43,3,2024-01-01,10:00:00,12:00:00,10,4,DISPONIBLE
44,4,2024-01-01,12:00:00,14:00:00,10,1,DISPONIBLE
45,5,2024-01-01,14:00:00,16:00:00,10,1,DISPONIBLE
46,6,2024-01-01,16:00:00,18:00:00,10,9,DISPONIBLE
47,7,2024-01-01,18:00:00,20:00:00,10,0,DISPONIBLE
48,8,2024-01-01,20:00:00,22:00:00,10,9,DISPONIBLE
49,9,2024-01-01,22:00:00,24:00:00,10,2,DISPONIBLE
50,10,2024-01-01,24:00:00,26:00:00,10,3,DISPONIBLE
51,1,2024-01-01,06:00:00,08:00:00,10,1,DISPONIBLE
52,2,2024-01-01,08:00:00,10:00:00,10,4,DISPONIBLE
53,3,2024-01-01,10:00:00,12:00:00,10,3,DISPONIBLE
54,4,2024-01-01,12:00:00,14:00:00,10,1,DISPONIBLE
55,5,2024-01-01,14:00:00,16:00:00,10,4,DISPONIBLE
56,6,2024-01-01,16:00:00,18:00:00,10,4,DISPONIBLE
57,7,2024-01-01,18:00:00,20:00:00,10,3,DISPONIBLE
58,8,2024-01-01,20:00:00,22:00:00,10,3,DISPONIBLE
59,9,2024-01-01,22:00:00,24:00:00,10,10,LLENA
60,10,2024-01-01,24:00:00,26:00:00,10,4,DISPONIBLE
61,1,2024-01-01,06:00:00,08:00:00,10,5,DISPONIBLE
62,2,2024-01-01,08:00:00,10:00:00,10,1,DISPONIBLE
63,3,2024-01-01,10:00:00,12:00:00,10,7,DISPONIBLE
64,4,2024-01-01,12:00:00,14:00:00,10,1,DISPONIBLE
65,5,2024-01-01,14:00:00,16:00:00,10,4,DISPONIBLE
66,6,2024-01-01,16:00:00,18:00:00,10,8,DISPONIBLE
67,7,2024-01-01,18:00:00,20:00:00,10,1,DISPONIBLE
68,8,2024-01-01,20:00:00,22:00:00,10,2,DISPONIBLE
69,9,2024-01-01,22:00:00,24:00:00,10,3,DISPONIBLE
70,10,2024-01-01,24:00:00,26:00:00,10,8,DISPONIBLE
71,1,2024-01-01,06:00:00,08:00:00,10,10,LLENA
72,2,2024-01-01,08:00:00,10:00:00,10,2,DISPONIBLE
73,3,2024-01-01,10:00:00,12:00:00,10,4,DISPONIBLE
74,4,2024-01-01,12:00:00,14:00:00,10,5,DISPONIBLE
75,5,2024-01-01,14:00:00,16:00:00,10,4,DISPONIBLE
76,6,2024-01-01,16:00:00,18:00:00,10,5,DISPONIBLE
77,7,2024-01-01,18:00:00,20:00:00,10,3,DISPONIBLE
78,8,2024-01-01,20:00:00,22:00:00,10,2,DISPONIBLE
79,9,2024-01-01,22:00:00,24:00:00,10,7,DISPONIBLE
80,10,2024-01-01,24:00:00,26:00:00,10,7,DISPONIBLE
81,1,2024-01-01,06:00:00,08:00:00,10,3,DISPONIBLE
82,2,2024-01-01,08:00:00,10:00:00,10,4,DISPONIBLE
83,3,2024-01-01,10:00:00,12:00:00,10,5,DISPONIBLE
84,4,2024-01-01,12:00:00,14:00:00,10,2,DISPONIBLE
85,5,2024-01-01,14:00:00,16:00:00,10,2,DISPONIBLE
86,6,2024-01-01,16:00:00,18:00:00,10,8,DISPONIBLE
87,7,2024-01-01,18:00:00,20:00:00,10,6,DISPONIBLE
88,8,2024-01-01,20:00:00,22:00:00,10,0,DISPONIBLE
89,9,2024-01-01,22:00:00,24:00:00,10,6,DISPONIBLE
90,10,2024-01-01,24:00:00,26:00:00,10,3,DISPONIBLE
91,1,2024-01-01,06:00:00,08:00:00,10,10,LLENA
92,2,2024-01-01,08:00:00,10:00:00,10,10,LLENA
93,3,2024-01-01,10:00:00,12:00:00,10,5,DISPONIBLE
94,4,2024-01-01,12:00:00,14:00:00,10,1,DISPONIBLE
95,5,2024-01-01,14:00:00,16:00:00,10,0,DISPONIBLE
96,6,2024-01-01,16:00:00,18:00:00,10,9,DISPONIBLE
97,7,2024-01-01,18:00:00,20:00:00,10,9,DISPONIBLE
98,8,2024-01-01,20:00:00,22:00:00,10,0,DISPONIBLE
99,9,2024-01-01,22:00:00,24:00:00,10,0,DISPONIBLE
100,10,2024-01-01,24:00:00,26:00:00,10,0,DISPONIBLE
