id,codigo,nombre,categoria,precio_base,estado
29,SKU-00000029,Producto 00000029,ELECTRONICA,417500.57,ACTIVO
30,SKU-00000030,Producto 00000030,PAPELERIA,262537.66,ACTIVO
31,SKU-00000031,Producto 00000031,TEXTIL,230223.6,ACTIVO
32,SKU-00000032,Producto 00000032,FERRETERIA,234549.05,ACTIVO
33,SKU-00000033,Producto 00000033,ALIMENTOS,211678.57,ACTIVO
34,SKU-00000034,Producto 00000034,BEBIDAS,451512.4,ACTIVO
35,SKU-00000035,Producto 00000035,ASEO,164761.75,ACTIVO
36,SKU-00000036,Producto 00000036,HOGAR,392287.27,ACTIVO
37,SKU-00000037,Producto 00000037,ELECTRONICA,191600.96,ACTIVO
38,SKU-00000038,Producto 00000038,PAPELERIA,271638.49,ACTIVO
39,SKU-00000039,Producto 00000039,TEXTIL,499629.08,ACTIVO
40,SKU-00000040,Producto 00000040,FERRETERIA,343016.94,ACTIVO
41,SKU-00000041,Producto 00000041,ALIMENTOS,235785.33,ACTIVO
42,SKU-00000042,Producto 00000042,BEBIDAS,90210.53,ACTIVO
43,SKU-00000043,Producto 00000043,ASEO,104235.18,ACTIVO
44,SKU-00000044,Producto 00000044,HOGAR,287188.13,ACTIVO
45,SKU-00000045,Producto 00000045,ELECTRONICA,275578.79,ACTIVO
46,SKU-00000046,Producto 00000046,PAPELERIA,106940.27,ACTIVO
47,SKU-00000047,Producto 00000047,TEXTIL,336381.41,ACTIVO
48,SKU-00000048,Producto 00000048,FERRETERIA,227726.11,ACTIVO
49,SKU-00000049,Producto 00000049,ALIMENTOS,379515.8,ACTIVO
50,SKU-00000050,Producto 00000050,BEBIDAS,325304.37,ACTIVO
51,SKU-00000051,Producto 00000051,ASEO,36607.25,ACTIVO
52,SKU-00000052,Producto 00000052,HOGAR,449853.22,ACTIVO
53,SKU-00000053,Producto 00000053,ELECTRONICA,34875.41,ACTIVO
54,SKU-00000054,Producto 00000054,PAPELERIA,403920.11,ACTIVO
55,SKU-00000055,Producto 00000055,TEXTIL,47232.69,ACTIVO
56,SKU-00000056,Producto 00000056,FERRETERIA,283424.57,ACTIVO
57,SKU-00000057,Producto 00000057,ALIMENTOS,106796.05,ACTIVO
58,SKU-00000058,Producto 00000058,BEBIDAS,138812.43,ACTIVO
59,SKU-00000059,Producto 00000059,ASEO,248835.67,ACTIVO
60,SKU-00000060,Producto 00000060,HOGAR,367095.69,ACTIVO
61,SKU-00000061,Producto 00000061,ELECTRONICA,223367.21,ACTIVO
62,SKU-00000062,Producto 00000062,PAPELERIA,201773.76,ACTIVO
63,SKU-00000063,Producto 00000063,TEXTIL,124567.39,ACTIVO
64,SKU-00000064,Producto 00000064,FERRETERIA,225301.36,ACTIVO
65,SKU-00000065,Producto 00000065,ALIMENTOS,418547.04,ACTIVO
66,SKU-00000066,Producto 00000066,BEBIDAS,252217.71,ACTIVO
67,SKU-00000067,Producto 00000067,ASEO,259066.44,ACTIVO
68,SKU-00000068,Producto 00000068,HOGAR,256439.06,ACTIVO
69,SKU-00000069,Producto 00000069,ELECTRONICA,270101.12,ACTIVO
70,SKU-00000070,Producto 00000070,PAPELERIA,340443.61,ACTIVO
71,SKU-00000071,Producto 00000071,TEXTIL,119417.35,ACTIVO
72,SKU-00000072,Producto 00000072,FERRETERIA,246608.44,ACTIVO
73,SKU-00000073,Producto 00000073,ALIMENTOS,41210.03,ACTIVO
74,SKU-00000074,Producto 00000074,BEBIDAS,232779.32,ACTIVO
75,SKU-00000075,Producto 00000075,ASEO,163879.07,ACTIVO
76,SKU-00000076,Producto 00000076,HOGAR,222107.81,ACTIVO
77,SKU-00000077,Producto 00000077,ELECTRONICA,212317.22,ACTIVO
78,SKU-00000078,Producto 00000078,PAPELERIA,62304.22,ACTIVO
79,SKU-00000079,Producto 00000079,TEXTIL,108982.96,ACTIVO
80,SKU-00000080,Producto 00000080,FERRETERIA,308429.96,ACTIVO
81,SKU-00000081,Producto 00000081,ALIMENTOS,460332.03,ACTIVO
82,SKU-00000082,Producto 00000082,BEBIDAS,131112.08,ACTIVO
83,SKU-00000083,Producto 00000083,ASEO,440405.55,ACTIVO
84,SKU-00000084,Producto 00000084,HOGAR,388674.98,ACTIVO
85,SKU-00000085,Producto 00000085,ELECTRONICA,88002.7,ACTIVO
86,SKU-00000086,Producto 00000086,PAPELERIA,2800.59,ACTIVO
87,SKU-00000087,Producto 00000087,TEXTIL,366086.03,ACTIVO
88,SKU-00000088,Producto 00000088,FERRETERIA,138141.87,ACTIVO
89,SKU-00000089,Producto 00000089,ALIMENTOS,403170.76,ACTIVO
90,SKU-00000090,Producto 00000090,BEBIDAS,239658.3,ACTIVO
91,SKU-00000091,Producto 00000091,ASEO,166150.39,ACTIVO
92,SKU-00000092,Producto 00000092,HOGAR,315596.79,ACTIVO
93,SKU-00000093,Producto 00000093,ELECTRONICA,395185.95,ACTIVO
94,SKU-00000094,Producto 00000094,PAPELERIA,151107.61,ACTIVO
95,SKU-00000095,Producto 00000095,TEXTIL,363561.91,ACTIVO
96,SKU-00000096,Producto 00000096,FERRETERIA,183512.89,ACTIVO
97,SKU-00000097,Producto 00000097,ALIMENTOS,468090.85,ACTIVO
98,SKU-00000098,Producto 00000098,BEBIDAS,493009.67,ACTIVO
99,SKU-00000099,Producto 00000099,ASEO,115223.95,ACTIVO
100,SKU-00000100,Producto 00000100,HOGAR,460015.57,ACTIVO
101,SKU-00000101,Producto 00000101,ELECTRONICA,102014.96,ACTIVO
102,SKU-00000102,Producto 00000102,PAPELERIA,459140.78,ACTIVO
103,SKU-00000103,Producto 00000103,TEXTIL,2925.77,ACTIVO
104,SKU-00000104,Producto 00000104,FERRETERIA,75668.37,ACTIVO
105,SKU-00000105,Producto 00000105,ALIMENTOS,291017.99,ACTIVO
106,SKU-00000106,Producto 00000106,BEBIDAS,464384.36,ACTIVO
107,SKU-00000107,Producto 00000107,ASEO,66654.64,ACTIVO
108,SKU-00000108,Producto 00000108,HOGAR,106595.68,ACTIVO
109,SKU-00000109,Producto 00000109,ELECTRONICA,418801.08,ACTIVO
110,SKU-00000110,Producto 00000110,PAPELERIA,311493.45,ACTIVO
111,SKU-00000111,Producto 00000111,TEXTIL,255101.39,ACTIVO
112,SKU-00000112,Producto 00000112,FERRETERIA,14498.55,ACTIVO
113,SKU-00000113,Producto 00000113,ALIMENTOS,214367.78,ACTIVO
114,SKU-00000114,Producto 00000114,BEBIDAS,460772.68,ACTIVO
115,SKU-00000115,Producto 00000115,ASEO,290522.84,ACTIVO
116,SKU-00000116,Producto 00000116,HOGAR,395486.44,ACTIVO
117,SKU-00000117,Producto 00000117,ELECTRONICA,320209.39,ACTIVO
118,SKU-00000118,Producto 00000118,PAPELERIA,330253.36,ACTIVO
119,SKU-00000119,Producto 00000119,TEXTIL,220079.88,ACTIVO
120,SKU-00000120,Producto 00000120,FERRETERIA,281235.32,ACTIVO
121,SKU-00000121,Producto 00000121,ALIMENTOS,139990.84,ACTIVO
122,SKU-00000122,Producto 00000122,BEBIDAS,141235.56,ACTIVO
123,SKU-00000123,Producto 00000123,ASEO,36568.49,ACTIVO
124,SKU-00000124,Producto 00000124,HOGAR,238647.79,ACTIVO
125,SKU-00000125,Producto 00000125,ELECTRONICA,424820.54,ACTIVO
126,SKU-00000126,Producto 00000126,PAPELERIA,241274.16,ACTIVO
127,SKU-00000127,Producto 00000127,TEXTIL,324464.16,ACTIVO
128,SKU-00000128,Producto 00000128,FERRETERIA,449667.76,ACTIVO
129,SKU-00000129,Producto 00000129,ALIMENTOS,23753.6,ACTIVO
130,SKU-00000130,Producto 00000130,BEBIDAS,49164.91,ACTIVO
131,SKU-00000131,Producto 00000131,ASEO,449981.09,ACTIVO
132,SKU-00000132,Producto 00000132,HOGAR,59618.07,ACTIVO
133,SKU-00000133,Producto 00000133,ELECTRONICA,331741.29,ACTIVO
134,SKU-00000134,Producto 00000134,PAPELERIA,443960.1,ACTIVO
135,SKU-00000135,Producto 00000135,TEXTIL,365976.57,ACTIVO
136,SKU-00000136,Producto 00000136,FERRETERIA,238403.88,ACTIVO
137,SKU-00000137,Producto 00000137,ALIMENTOS,490679.17,ACTIVO
138,SKU-00000138,Producto 00000138,BEBIDAS,344193.09,ACTIVO
139,SKU-00000139,Producto 00000139,ASEO,60586.56,ACTIVO
140,SKU-00000140,Producto 00000140,HOGAR,215450.62,ACTIVO
141,SKU-00000141,Producto 00000141,ELECTRONICA,495135.83,ACTIVO
142,SKU-00000142,Producto 00000142,PAPELERIA,3648.6,ACTIVO
143,SKU-00000143,Producto 00000143,TEXTIL,229424.68,ACTIVO
144,SKU-00000144,Producto 00000144,FERRETERIA,313470.86,ACTIVO
145,SKU-00000145,Producto 00000145,ALIMENTOS,177977.12,ACTIVO
146,SKU-00000146,Producto 00000146,BEBIDAS,420782.36,ACTIVO
147,SKU-00000147,Producto 00000147,ASEO,134931.65,ACTIVO
148,SKU-00000148,Producto 00000148,HOGAR,72222.75,ACTIVO
149,SKU-00000149,Producto 00000149,ELECTRONICA,80200.81,ACTIVO
150,SKU-00000150,Producto 00000150,PAPELERIA,161252.91,ACTIVO
151,SKU-00000151,Producto 00000151,TEXTIL,300414.43,ACTIVO
152,SKU-00000152,Producto 00000152,FERRETERIA,214954.12,ACTIVO
153,SKU-00000153,Producto 00000153,ALIMENTOS,177090.99,ACTIVO
154,SKU-00000154,Producto 00000154,BEBIDAS,345351.81,ACTIVO
155,SKU-00000155,Producto 00000155,ASEO,431492.18,ACTIVO
156,SKU-00000156,Producto 00000156,HOGAR,13370.2,ACTIVO
157,SKU-00000157,Producto 00000157,ELECTRONICA,335651.69,ACTIVO
158,SKU-00000158,Producto 00000158,PAPELERIA,248910.53,ACTIVO
159,SKU-00000159,Producto 00000159,TEXTIL,303525.51,ACTIVO
160,SKU-00000160,Producto 00000160,FERRETERIA,382541.94,ACTIVO
161,SKU-00000161,Producto 00000161,ALIMENTOS,431893.48,ACTIVO
162,SKU-00000162,Producto 00000162,BEBIDAS,417063.43,ACTIVO
163,SKU-00000163,Producto 00000163,ASEO,413056.87,ACTIVO
164,SKU-00000164,Producto 00000164,HOGAR,149337.81,ACTIVO
165,SKU-00000165,Producto 00000165,ELECTRONICA,273739.38,ACTIVO
166,SKU-00000166,Producto 00000166,PAPELERIA,249448.85,ACTIVO
167,SKU-00000167,Producto 00000167,TEXTIL,345963.54,ACTIVO
168,SKU-00000168,Producto 00000168,FERRETERIA,233136.77,ACTIVO
169,SKU-00000169,Producto 00000169,ALIMENTOS,183799.55,ACTIVO
170,SKU-00000170,Producto 00000170,BEBIDAS,204727.81,ACTIVO
171,SKU-00000171,Producto 00000171,ASEO,235899.01,ACTIVO
172,SKU-00000172,Producto 00000172,HOGAR,308354.08,ACTIVO
173,SKU-00000173,Producto 00000173,ELECTRONICA,170029.02,ACTIVO
174,SKU-00000174,Producto 00000174,PAPELERIA,147741.94,ACTIVO
175,SKU-00000175,Producto 00000175,TEXTIL,485120.93,ACTIVO
176,SKU-00000176,Producto 00000176,FERRETERIA,114298.46,ACTIVO
177,SKU-00000177,Producto 00000177,ALIMENTOS,207714.51,ACTIVO
178,SKU-00000178,Producto 00000178,BEBIDAS,457253.28,ACTIVO
179,SKU-00000179,Producto 00000179,ASEO,74971.34,ACTIVO
180,SKU-00000180,Producto 00000180,HOGAR,266916.06,ACTIVO
181,SKU-00000181,Producto 00000181,ELECTRONICA,380312.86,ACTIVO
182,SKU-00000182,Producto 00000182,PAPELERIA,492659.44,ACTIVO
183,SKU-00000183,Producto 00000183,TEXTIL,473086.15,ACTIVO
184,SKU-00000184,Producto 00000184,FERRETERIA,61473.28,ACTIVO
185,SKU-00000185,Producto 00000185,ALIMENTOS,193494.55,ACTIVO
186,SKU-00000186,Producto 00000186,BEBIDAS,185255.07,ACTIVO
187,SKU-00000187,Producto 00000187,ASEO,100204.8,ACTIVO
188,SKU-00000188,Producto 00000188,HOGAR,107536.95,ACTIVO
189,SKU-00000189,Producto 00000189,ELECTRONICA,47824.49,ACTIVO
190,SKU-00000190,Producto 00000190,PAPELERIA,130417.69,ACTIVO
191,SKU-00000191,Producto 00000191,TEXTIL,124501.43,ACTIVO
192,SKU-00000192,Producto 00000192,FERRETERIA,269133.43,ACTIVO
193,SKU-00000193,Producto 00000193,ALIMENTOS,138445.61,ACTIVO
194,SKU-00000194,Producto 00000194,BEBIDAS,306731.79,ACTIVO
195,SKU-00000195,Producto 00000195,ASEO,286526.42,ACTIVO
196,SKU-00000196,Producto 00000196,HOGAR,173355.77,ACTIVO
197,SKU-00000197,Producto 00000197,ELECTRONICA,195851.74,ACTIVO
198,SKU-00000198,Producto 00000198,PAPELERIA,290507.67,ACTIVO
199,SKU-00000199,Producto 00000199,TEXTIL,294354.17,ACTIVO
200,SKU-00000200,Producto 00000200,FERRETERIA,220128.42,ACTIVO
201,SKU-00000201,Producto 00000201,ALIMENTOS,157763.55,ACTIVO
202,SKU-00000202,Producto 00000202,BEBIDAS,127557.74,ACTIVO
203,SKU-00000203,Producto 00000203,ASEO,85604.65,ACTIVO
204,SKU-00000204,Producto 00000204,HOGAR,144972.91,ACTIVO
205,SKU-00000205,Producto 00000205,ELECTRONICA,30417.27,ACTIVO
206,SKU-00000206,Producto 00000206,PAPELERIA,64337.34,ACTIVO
207,SKU-00000207,Producto 00000207,TEXTIL,263912.5,ACTIVO
208,SKU-00000208,Producto 00000208,FERRETERIA,350603.97,ACTIVO
209,SKU-00000209,Producto 00000209,ALIMENTOS,105496.31,ACTIVO
210,SKU-00000210,Producto 00000210,BEBIDAS,127605.48,ACTIVO
211,SKU-00000211,Producto 00000211,ASEO,179225.39,ACTIVO
212,SKU-00000212,Producto 00000212,HOGAR,39802.44,ACTIVO
213,SKU-00000213,Producto 00000213,ELECTRONICA,350638.44,ACTIVO
214,SKU-00000214,Producto 00000214,PAPELERIA,70673.86,ACTIVO
215,SKU-00000215,Producto 00000215,TEXTIL,370566.59,ACTIVO
216,SKU-00000216,Producto 00000216,FERRETERIA,355854.65,ACTIVO
217,SKU-00000217,Producto 00000217,ALIMENTOS,22316.64,ACTIVO
218,SKU-00000218,Producto 00000218,BEBIDAS,411886.01,ACTIVO
219,SKU-00000219,Producto 00000219,ASEO,9835.53,ACTIVO
220,SKU-00000220,Producto 00000220,HOGAR,71977.37,ACTIVO
221,SKU-00000221,Producto 00000221,ELECTRONICA,212187.77,ACTIVO
222,SKU-00000222,Producto 00000222,PAPELERIA,210423.67,ACTIVO
223,SKU-00000223,Producto 00000223,TEXTIL,86591.05,ACTIVO
224,SKU-00000224,Producto 00000224,FERRETERIA,77206.07,ACTIVO
225,SKU-00000225,Producto 00000225,ALIMENTOS,255014.3,ACTIVO
226,SKU-00000226,Producto 00000226,BEBIDAS,72144.4,ACTIVO
227,SKU-00000227,Producto 00000227,ASEO,409957.87,ACTIVO
228,SKU-00000228,Producto 00000228,HOGAR,178220.94,ACTIVO
229,SKU-00000229,Producto 00000229,ELECTRONICA,37435.81,ACTIVO
230,SKU-00000230,Producto 00000230,PAPELERIA,77978.63,ACTIVO
231,SKU-00000231,Producto 00000231,TEXTIL,35930.13,ACTIVO
232,SKU-00000232,Producto 00000232,FERRETERIA,425340.67,ACTIVO
233,SKU-00000233,Producto 00000233,ALIMENTOS,66072.9,ACTIVO
234,SKU-00000234,Producto 00000234,BEBIDAS,180427.04,ACTIVO
235,SKU-00000235,Producto 00000235,ASEO,480001.09,ACTIVO
236,SKU-00000236,Producto 00000236,HOGAR,147269.68,ACTIVO
237,SKU-00000237,Producto 00000237,ELECTRONICA,270753.67,ACTIVO
238,SKU-00000238,Producto 00000238,PAPELERIA,202884.59,ACTIVO
239,SKU-00000239,Producto 00000239,TEXTIL,165780.95,ACTIVO
240,SKU-00000240,Producto 00000240,FERRETERIA,125647.18,ACTIVO
241,SKU-00000241,Producto 00000241,ALIMENTOS,465413.85,ACTIVO
242,SKU-00000242,Producto 00000242,BEBIDAS,84791.83,ACTIVO
243,SKU-00000243,Producto 00000243,ASEO,357834.03,ACTIVO
244,SKU-00000244,Producto 00000244,HOGAR,192325.64,ACTIVO
245,SKU-00000245,Producto 00000245,ELECTRONICA,222171.51,ACTIVO
246,SKU-00000246,Producto 00000246,PAPELERIA,441980.6,ACTIVO
247,SKU-00000247,Producto 00000247,TEXTIL,128089.18,ACTIVO
248,SKU-00000248,Producto 00000248,FERRETERIA,385169.85,ACTIVO
249,SKU-00000249,Producto 00000249,ALIMENTOS,77246.54,ACTIVO
250,SKU-00000250,Producto 00000250,BEBIDAS,367194.74,ACTIVO
251,SKU-00000251,Producto 00000251,ASEO,126430.03,ACTIVO
252,SKU-00000252,Producto 00000252,HOGAR,345796.51,ACTIVO
253,SKU-00000253,Producto 00000253,ELECTRONICA,144907.05,ACTIVO
254,SKU-00000254,Producto 00000254,PAPELERIA,1143.23,ACTIVO
255,SKU-00000255,Producto 00000255,TEXTIL,282309.89,ACTIVO
256,SKU-00000256,Producto 00000256,FERRETERIA,355729.87,ACTIVO
257,SKU-00000257,Producto 00000257,ALIMENTOS,276544.8,ACTIVO
258,SKU-00000258,Producto 00000258,BEBIDAS,188359.29,ACTIVO
259,SKU-00000259,Producto 00000259,ASEO,450088.0,ACTIVO
260,SKU-00000260,Producto 00000260,HOGAR,54493.96,ACTIVO
261,SKU-00000261,Producto 00000261,ELECTRONICA,269627.66,ACTIVO
262,SKU-00000262,Producto 00000262,PAPELERIA,231962.28,ACTIVO
263,SKU-00000263,Producto 00000263,TEXTIL,250906.41,ACTIVO
264,SKU-00000264,Producto 00000264,FERRETERIA,37504.62,ACTIVO
265,SKU-00000265,Producto 00000265,ALIMENTOS,417878.69,ACTIVO
266,SKU-00000266,Producto 00000266,BEBIDAS,54534.35,ACTIVO
267,SKU-00000267,Producto 00000267,ASEO,53899.44,ACTIVO
268,SKU-00000268,Producto 00000268,HOGAR,76041.5,ACTIVO
269,SKU-00000269,Producto 00000269,ELECTRONICA,379157.38,ACTIVO
270,SKU-00000270,Producto 00000270,PAPELERIA,22721.07,ACTIVO
271,SKU-00000271,Producto 00000271,TEXTIL,318222.68,ACTIVO
272,SKU-00000272,Producto 00000272,FERRETERIA,202087.34,ACTIVO
273,SKU-00000273,Producto 00000273,ALIMENTOS,142804.96,ACTIVO
274,SKU-00000274,Producto 00000274,BEBIDAS,261994.79,ACTIVO
275,SKU-00000275,Producto 00000275,ASEO,112583.59,ACTIVO
276,SKU-00000276,Producto 00000276,HOGAR,460081.59,ACTIVO
277,SKU-00000277,Producto 00000277,ELECTRONICA,88160.68,ACTIVO
278,SKU-00000278,Producto 00000278,PAPELERIA,48952.47,ACTIVO
279,SKU-00000279,Producto 00000279,TEXTIL,73646.65,ACTIVO
280,SKU-00000280,Producto 00000280,FERRETERIA,121962.04,ACTIVO
281,SKU-00000281,Producto 00000281,ALIMENTOS,59866.41,ACTIVO
282,SKU-00000282,Producto 00000282,BEBIDAS,157013.93,ACTIVO
283,SKU-00000283,Producto 00000283,ASEO,198054.07,ACTIVO
284,SKU-00000284,Producto 00000284,HOGAR,480537.02,ACTIVO
285,SKU-00000285,Producto 00000285,ELECTRONICA,370018.14,ACTIVO
286,SKU-00000286,Producto 00000286,PAPELERIA,392995.77,ACTIVO
287,SKU-00000287,Producto 00000287,TEXTIL,106749.19,ACTIVO
288,SKU-00000288,Producto 00000288,FERRETERIA,195254.98,ACTIVO
289,SKU-00000289,Producto 00000289,ALIMENTOS,2620.74,ACTIVO
290,SKU-00000290,Producto 00000290,BEBIDAS,485514.18,ACTIVO
291,SKU-00000291,Producto 00000291,ASEO,446080.21,ACTIVO
292,SKU-00000292,Producto 00000292,HOGAR,354730.27,ACTIVO
293,SKU-00000293,Producto 00000293,ELECTRONICA,216639.92,ACTIVO
294,SKU-00000294,Producto 00000294,PAPELERIA,209234.01,ACTIVO
295,SKU-00000295,Producto 00000295,TEXTIL,495435.58,ACTIVO
296,SKU-00000296,Producto 00000296,FERRETERIA,237223.43,ACTIVO
297,SKU-00000297,Producto 00000297,ALIMENTOS,110063.7,ACTIVO
298,SKU-00000298,Producto 00000298,BEBIDAS,23019.42,ACTIVO
299,SKU-00000299,Producto 00000299,ASEO,87321.09,ACTIVO
300,SKU-00000300,Producto 00000300,HOGAR,94835.11,ACTIVO
301,SKU-00000301,Producto 00000301,ELECTRONICA,109400.71,ACTIVO
302,SKU-00000302,Producto 00000302,PAPELERIA,375492.8,ACTIVO
303,SKU-00000303,Producto 00000303,TEXTIL,451634.99,ACTIVO
304,SKU-00000304,Producto 00000304,FERRETERIA,493202.72,ACTIVO
305,SKU-00000305,Producto 00000305,ALIMENTOS,291394.88,ACTIVO
306,SKU-00000306,Producto 00000306,BEBIDAS,431173.11,ACTIVO
307,SKU-00000307,Producto 00000307,ASEO,277327.2,ACTIVO
308,SKU-00000308,Producto 00000308,HOGAR,88717.09,ACTIVO
309,SKU-00000309,Producto 00000309,ELECTRONICA,87682.55,ACTIVO
310,SKU-00000310,Producto 00000310,PAPELERIA,2330.34,ACTIVO
311,SKU-00000311,Producto 00000311,TEXTIL,440262.81,ACTIVO
312,SKU-00000312,Producto 00000312,FERRETERIA,64496.2,ACTIVO
313,SKU-00000313,Producto 00000313,ALIMENTOS,455742.38,ACTIVO
314,SKU-00000314,Producto 00000314,BEBIDAS,378604.0,ACTIVO
315,SKU-00000315,Producto 00000315,ASEO,29349.42,ACTIVO
316,SKU-00000316,Producto 00000316,HOGAR,61016.57,ACTIVO
317,SKU-00000317,Producto 00000317,ELECTRONICA,266559.36,ACTIVO
318,SKU-00000318,Producto 00000318,PAPELERIA,478408.0,ACTIVO
319,SKU-00000319,Producto 00000319,TEXTIL,407237.24,ACTIVO
320,SKU-00000320,Producto 00000320,FERRETERIA,240766.91,ACTIVO
321,SKU-00000321,Producto 00000321,ALIMENTOS,292325.68,ACTIVO
322,SKU-00000322,Producto 00000322,BEBIDAS,169228.95,ACTIVO
323,SKU-00000323,Producto 00000323,ASEO,46571.27,ACTIVO
324,SKU-00000324,Producto 00000324,HOGAR,6526.36,ACTIVO
325,SKU-00000325,Producto 00000325,ELECTRONICA,205971.89,ACTIVO
326,SKU-00000326,Producto 00000326,PAPELERIA,154565.7,ACTIVO
327,SKU-00000327,Producto 00000327,TEXTIL,487790.64,ACTIVO
328,SKU-00000328,Producto 00000328,FERRETERIA,36732.66,ACTIVO
329,SKU-00000329,Producto 00000329,ALIMENTOS,475977.22,ACTIVO
330,SKU-00000330,Producto 00000330,BEBIDAS,225592.9,ACTIVO
331,SKU-00000331,Producto 00000331,ASEO,487300.68,ACTIVO
332,SKU-00000332,Producto 00000332,HOGAR,369895.73,ACTIVO
333,SKU-00000333,Producto 00000333,ELECTRONICA,71868.86,ACTIVO
334,SKU-00000334,Producto 00000334,PAPELERIA,414787.61,ACTIVO
335,SKU-00000335,Producto 00000335,TEXTIL,187641.55,ACTIVO
336,SKU-00000336,Producto 00000336,FERRETERIA,124262.49,ACTIVO
337,SKU-00000337,Producto 00000337,ALIMENTOS,427705.92,ACTIVO
338,SKU-00000338,Producto 00000338,BEBIDAS,216285.71,ACTIVO
339,SKU-00000339,Producto 00000339,ASEO,418687.58,ACTIVO
340,SKU-00000340,Producto 00000340,HOGAR,351847.27,ACTIVO
341,SKU-00000341,Producto 00000341,ELECTRONICA,112620.6,ACTIVO
342,SKU-00000342,Producto 00000342,PAPELERIA,473948.91,ACTIVO
343,SKU-00000343,Producto 00000343,TEXTIL,230858.68,ACTIVO
344,SKU-00000344,Producto 00000344,FERRETERIA,59249.95,ACTIVO
345,SKU-00000345,Producto 00000345,ALIMENTOS,349044.86,ACTIVO
346,SKU-00000346,Producto 00000346,BEBIDAS,452890.46,ACTIVO
347,SKU-00000347,Producto 00000347,ASEO,447729.85,ACTIVO
348,SKU-00000348,Producto 00000348,HOGAR,59897.18,ACTIVO
349,SKU-00000349,Producto 00000349,ELECTRONICA,136646.27,ACTIVO
350,SKU-00000350,Producto 00000350,PAPELERIA,263009.57,ACTIVO
351,SKU-00000351,Producto 00000351,TEXTIL,13159.43,ACTIVO
352,SKU-00000352,Producto 00000352,FERRETERIA,494267.1,ACTIVO
353,SKU-00000353,Producto 00000353,ALIMENTOS,327858.76,ACTIVO
354,SKU-00000354,Producto 00000354,BEBIDAS,492901.39,ACTIVO
355,SKU-00000355,Producto 00000355,ASEO,247231.69,ACTIVO
356,SKU-00000356,Producto 00000356,HOGAR,91134.74,ACTIVO
357,SKU-00000357,Producto 00000357,ELECTRONICA,374875.74,ACTIVO
358,SKU-00000358,Producto 00000358,PAPELERIA,213787.04,ACTIVO
359,SKU-00000359,Producto 00000359,TEXTIL,73648.93,ACTIVO
360,SKU-00000360,Producto 00000360,FERRETERIA,85415.97,ACTIVO
361,SKU-00000361,Producto 00000361,ALIMENTOS,116768.32,ACTIVO
362,SKU-00000362,Producto 00000362,BEBIDAS,54478.67,ACTIVO
363,SKU-00000363,Producto 00000363,ASEO,363712.53,ACTIVO
364,SKU-00000364,Producto 00000364,HOGAR,328568.42,ACTIVO
365,SKU-00000365,Producto 00000365,ELECTRONICA,93959.94,ACTIVO
366,SKU-00000366,Producto 00000366,PAPELERIA,223423.63,ACTIVO
367,SKU-00000367,Producto 00000367,TEXTIL,251204.75,ACTIVO
368,SKU-00000368,Producto 00000368,FERRETERIA,281762.62,ACTIVO
369,SKU-00000369,Producto 00000369,ALIMENTOS,210090.95,ACTIVO
370,SKU-00000370,Producto 00000370,BEBIDAS,459846.27,ACTIVO
371,SKU-00000371,Producto 00000371,ASEO,26963.04,ACTIVO
372,SKU-00000372,Producto 00000372,HOGAR,328041.49,ACTIVO
