id,orden_id,numero_linea,sku_id,cantidad,precio_unitario,cantidad_recibida,fecha_recepcion
109,22,4,9,19,148776.99,6,
110,22,5,35,84,238417.1,79,
111,23,1,29,98,351241.06,4,
112,23,2,30,53,480304.68,33,
113,23,3,22,50,174924.4,18,
114,23,4,26,5,354805.95,5,
115,23,5,15,88,184540.07,40,
116,24,1,11,4,177886.77,0,
117,24,2,9,26,325535.97,26,
118,24,3,50,100,466486.19,22,
119,24,4,50,92,62990.54,11,
120,24,5,15,36,443044.98,2,
121,25,1,37,25,183715.76,14,
122,25,2,29,64,7106.82,25,
123,25,3,36,23,478926.71,22,
124,25,4,42,73,27367.54,53,
125,25,5,40,86,10218.64,86,
126,26,1,27,12,388947.88,8,
127,26,2,45,7,86307.97,2,
128,26,3,19,15,113565.28,11,
129,26,4,14,29,435423.76,21,
130,26,5,5,100,353467.07,47,
131,27,1,43,32,337748.51,14,
132,27,2,29,10,118194.98,8,
133,27,3,16,3,211206.73,1,
134,27,4,11,25,277270.86,1,
135,27,5,31,52,435514.57,8,
136,28,1,43,65,334546.09,16,
137,28,2,31,42,207190.91,26,
138,28,3,42,33,299724.44,14,
139,28,4,48,42,61217.71,33,
140,28,5,47,80,173850.0,38,
141,29,1,39,64,282129.05,43,
142,29,2,28,18,292348.95,11,
143,29,3,28,69,468130.94,52,
144,29,4,48,89,211739.85,3,
145,29,5,34,67,84665.31,42,
146,30,1,13,37,454310.5,31,
147,30,2,24,86,58806.3,2,
148,30,3,24,82,462747.65,16,
149,30,4,20,89,134774.55,7,
150,30,5,34,38,184717.92,7,
151,31,1,19,38,442038.82,15,
152,31,2,34,37,227779.75,2,
153,31,3,27,100,250241.0,11,
154,31,4,2,20,375776.83,18,
155,31,5,27,30,289564.57,6,
156,32,1,16,72,337396.76,1,
157,32,2,33,38,373144.34,31,
158,32,3,17,7,257421.84,1,
159,32,4,34,29,458784.0,27,
160,32,5,44,30,183792.22,4,
161,33,1,16,29,398615.63,11,
162,33,2,49,40,321658.54,16,
163,33,3,2,10,27613.67,1,
164,33,4,14,15,417346.71,13,
165,33,5,11,64,491735.06,15,
166,34,1,4,85,106954.69,36,
167,34,2,5,11,455290.37,4,
168,34,3,34,36,428604.65,13,
169,34,4,42,45,53220.83,13,
170,34,5,12,9,420472.83,9,
171,35,1,8,60,215164.94,37,
172,35,2,29,22,366250.57,4,
173,35,3,39,91,340079.73,81,
174,35,4,28,85,225938.85,0,
175,35,5,28,16,2593.87,3,
176,36,1,40,6,396541.78,4,
177,36,2,22,86,31727.69,67,
178,36,3,3,48,24305.31,25,
179,36,4,19,25,289870.66,3,
180,36,5,38,6,415521.12,6,
181,37,1,19,16,42570.91,10,
182,37,2,44,85,287612.29,11,
183,37,3,23,73,143673.85,13,
184,37,4,36,7,117309.77,1,
185,37,5,31,2,412357.85,2,
186,38,1,29,31,293641.05,27,
187,38,2,24,74,90334.67,42,
188,38,3,3,6,76234.36,5,
189,38,4,25,64,371713.82,18,
190,38,5,27,100,213772.92,37,
191,39,1,33,91,278454.76,31,
192,39,2,22,21,317284.33,10,
193,39,3,20,23,193045.45,9,
194,39,4,30,52,355495.95,20,
195,39,5,46,37,405914.52,37,
196,40,1,17,75,340262.3,0,
197,40,2,38,23,484991.9,4,
198,40,3,35,69,298339.71,60,
199,40,4,35,14,256271.02,3,
200,40,5,38,17,99574.21,5,
201,41,1,19,60,59081.48,21,
202,41,2,6,37,420303.93,27,
203,41,3,5,82,364515.51,26,
204,41,4,45,90,294273.18,62,
205,41,5,44,70,474922.32,23,
206,42,1,30,41,119607.49,20,
207,42,2,2,78,34199.39,38,
208,42,3,31,87,25253.19,82,
209,42,4,14,82,243257.61,46,
210,42,5,35,95,337028.24,7,
211,43,1,19,50,420791.04,30,
212,43,2,19,80,278977.26,62,
213,43,3,18,100,245412.66,40,
214,43,4,21,77,427091.33,61,
215,43,5,35,75,452003.73,64,
216,44,1,33,81,254274.58,44,
217,44,2,13,47,447291.72,7,
218,44,3,22,25,249766.59,9,
219,44,4,41,69,367390.62,54,
220,44,5,13,35,132959.37,3,
221,45,1,24,76,253097.46,51,
222,45,2,19,87,169473.82,46,
223,45,3,20,98,255032.49,98,
224,45,4,20,72,364341.08,34,
225,45,5,35,6,130203.53,0,
226,46,1,36,66,171908.48,13,
227,46,2,13,67,322200.66,40,
228,46,3,28,60,83928.95,6,
229,46,4,4,68,165301.46,55,
230,46,5,19,56,269626.73,0,
231,47,1,45,38,102387.81,9,
232,47,2,28,51,486580.2,30,
233,47,3,2,87,337612.52,49,
234,47,4,19,97,142693.28,12,
235,47,5,48,65,82446.56,0,
236,48,1,27,12,465480.98,1,
237,48,2,40,23,77287.59,10,
238,48,3,32,25,158031.87,10,
239,48,4,8,43,256278.65,17,
240,48,5,41,27,480166.32,1,
241,49,1,33,84,263735.45,67,
242,49,2,44,22,169780.87,7,
243,49,3,47,59,466144.91,17,
244,49,4,18,21,179622.16,4,
245,49,5,2,11,237712.22,11,
246,50,1,7,89,28223.86,72,
247,50,2,48,65,313568.96,49,
248,50,3,35,98,379549.61,88,
249,50,4,29,16,81273.13,8,
250,50,5,36,31,496646.18,29,
251,51,1,27,60,124714.91,26,
252,51,2,22,28,235172.0,5,
253,51,3,43,100,156150.2,61,
254,51,4,24,51,362246.47,39,
255,51,5,18,61,298115.56,28,
256,52,1,47,47,169828.42,24,
257,52,2,29,20,407582.05,13,
258,52,3,50,86,18226.3,31,
259,52,4,8,7,248790.85,0,
260,52,5,9,40,333174.53,26,
261,53,1,3,85,200713.61,36,
262,53,2,4,14,318927.88,11,
263,53,3,16,31,303600.31,16,
264,53,4,45,6,357029.95,6,
265,53,5,33,9,44324.49,3,
266,54,1,14,10,171107.09,0,
267,54,2,29,30,441385.28,12,
268,54,3,11,98,440342.64,1,
269,54,4,29,14,330213.39,3,
270,54,5,2,62,372851.09,26,
271,55,1,44,76,192355.11,65,
272,55,2,40,84,319708.95,75,
273,55,3,39,24,40827.68,18,
274,55,4,41,79,472851.65,62,
275,55,5,23,65,334394.14,11,
276,56,1,30,23,97013.22,11,
277,56,2,16,69,316659.33,32,
278,56,3,15,17,68592.61,8,
279,56,4,48,27,41085.44,3,
280,56,5,41,17,208928.53,17,
281,57,1,11,48,373931.26,48,
282,57,2,38,29,222921.78,16,
283,57,3,3,10,177065.5,10,
284,57,4,20,81,435720.24,68,
285,57,5,44,52,354466.06,43,
286,58,1,33,95,81208.19,74,
287,58,2,42,16,3485.01,1,
288,58,3,17,36,185780.5,18,
289,58,4,11,100,96715.13,0,
290,58,5,18,87,194542.29,46,
291,59,1,26,23,26570.34,23,
292,59,2,5,5,193391.9,1,
293,59,3,48,40,373735.77,34,
294,59,4,42,13,387326.51,12,
295,59,5,39,20,261897.23,7,
296,60,1,32,26,378542.2,25,
297,60,2,43,73,170709.89,67,
298,60,3,9,36,466876.37,20,
299,60,4,23,95,128660.4,45,
300,60,5,23,65,249477.19,61,
301,61,1,9,79,178621.67,73,
302,61,2,50,55,232543.52,40,
303,61,3,22,67,464894.76,27,
304,61,4,28,41,132571.45,14,
305,61,5,27,31,388291.82,20,
306,62,1,45,46,393666.92,26,
307,62,2,44,26,25559.21,18,
308,62,3,47,34,9227.44,5,
309,62,4,3,1,253173.5,1,
310,62,5,38,17,125602.29,11,
311,63,1,23,35,153059.18,13,
312,63,2,29,89,435644.05,9,
313,63,3,29,69,24755.04,40,
314,63,4,29,27,114538.97,25,
315,63,5,46,73,345848.59,21,
316,64,1,33,86,35745.29,32,
317,64,2,27,87,387192.55,43,
318,64,3,23,17,293048.65,0,
319,64,4,6,6,150153.28,6,
320,64,5,37,64,287020.73,24,
321,65,1,10,45,486396.31,38,
322,65,2,14,91,355186.15,78,
323,65,3,43,98,95105.25,7,
324,65,4,37,100,129736.52,72,
325,65,5,21,41,146757.67,11,
326,66,1,44,78,375469.97,75,
327,66,2,2,25,71143.63,3,
328,66,3,13,3,138675.35,2,
329,66,4,30,26,492093.83,1,
330,66,5,17,29,91972.14,27,
331,67,1,17,43,477579.19,13,
332,67,2,38,97,414656.77,26,
333,67,3,42,4,478471.99,4,
334,67,4,35,27,405639.12,7,
335,67,5,35,80,38972.25,79,
336,68,1,47,58,162815.87,7,
337,68,2,30,43,419630.46,10,
338,68,3,5,44,445068.09,6,
339,68,4,28,1,194624.09,1,
340,68,5,28,69,499424.71,42,
341,69,1,10,42,468092.37,17,
342,69,2,4,11,309465.95,5,
343,69,3,36,16,61729.24,11,
344,69,4,13,89,139003.21,50,
345,69,5,49,19,168442.21,1,
346,70,1,45,4,136838.65,3,
347,70,2,17,62,97260.92,13,
348,70,3,42,59,298590.86,12,
349,70,4,23,67,19927.71,22,
350,70,5,23,28,467013.14,5,
351,71,1,27,61,494209.19,41,
352,71,2,18,64,412105.95,35,
353,71,3,47,83,166147.55,62,
354,71,4,31,23,91285.05,15,
355,71,5,45,67,10206.29,55,
356,72,1,12,73,258588.93,58,
357,72,2,3,44,197850.87,25,
358,72,3,5,70,492941.92,42,
359,72,4,48,22,80042.77,22,
360,72,5,14,2,279889.32,1,
361,73,1,18,7,47801.67,3,
362,73,2,26,83,179263.9,48,
363,73,3,32,85,31189.02,13,
364,73,4,1,75,76469.1,67,
365,73,5,36,70,147959.9,68,
366,74,1,13,7,312133.12,7,
367,74,2,21,51,48783.02,10,
368,74,3,3,47,443039.57,12,
369,74,4,47,49,418103.28,1,
370,74,5,1,12,77683.07,6,
371,75,1,45,86,149219.44,35,
372,75,2,48,13,251277.84,12,
373,75,3,9,32,13312.52,12,
374,75,4,43,38,307225.04,19,
375,75,5,13,19,104768.79,2,
376,76,1,16,31,291563.2,9,
377,76,2,2,38,209752.6,32,
378,76,3,41,7,434255.07,4,
379,76,4,50,68,445530.94,42,
380,76,5,31,99,39052.69,57,
381,77,1,44,92,77543.1,56,
382,77,2,46,90,289043.44,41,
383,77,3,47,19,93149.86,5,
384,77,4,18,70,417251.0,47,
385,77,5,16,64,268148.32,45,
386,78,1,18,30,469568.48,29,
387,78,2,50,99,272005.46,74,
388,78,3,46,24,106575.31,22,
389,78,4,43,54,477869.87,24,
390,78,5,7,74,204898.1,18,
391,79,1,37,100,81981.27,17,
392,79,2,33,99,456261.65,39,
393,79,3,31,6,217688.57,6,
394,79,4,7,2,467503.35,2,
395,79,5,47,56,142999.16,50,
396,80,1,46,71,255742.73,1,
397,80,2,36,76,337457.89,27,
398,80,3,40,54,289391.65,36,
399,80,4,45,63,255531.67,51,
400,80,5,31,92,177751.32,65,
401,81,1,39,72,33342.81,8,
402,81,2,43,59,395664.23,0,
403,81,3,2,92,244248.6,91,
404,81,4,31,68,314073.42,48,
405,81,5,40,27,16500.7,9,
406,82,1,47,100,108408.37,44,
407,82,2,3,75,471612.35,7,
408,82,3,50,94,256515.55,73,
409,82,4,18,63,271048.13,63,
410,82,5,28,49,247557.72,18,
411,83,1,17,36,51430.93,33,
412,83,2,15,77,332614.01,33,
413,83,3,10,69,254706.7,33,
414,83,4,45,26,44762.14,8,
415,83,5,47,35,180977.35,0,
416,84,1,1,54,480743.21,22,
417,84,2,10,71,80878.4,5,
418,84,3,46,100,249139.36,100,
419,84,4,43,7,336832.43,6,
420,84,5,38,14,288333.3,3,
421,85,1,40,11,329950.5,1,
422,85,2,35,71,339522.97,49,
423,85,3,30,85,28668.32,83,
424,85,4,19,20,15045.4,20,
425,85,5,3,41,191523.68,21,
426,86,1,39,79,163977.84,47,
427,86,2,45,85,101286.44,3,
428,86,3,24,7,275205.96,1,
429,86,4,2,28,488391.98,26,
430,86,5,9,98,182008.58,96,
431,87,1,27,62,389390.28,7,
432,87,2,20,92,328984.73,18,
433,87,3,41,10,150454.64,4,
434,87,4,42,48,381818.42,40,
435,87,5,17,62,46676.91,33,
436,88,1,4,1,72366.72,1,
437,88,2,28,18,163544.7,2,
438,88,3,20,29,353909.61,22,
439,88,4,27,26,186496.66,5,
440,88,5,34,94,296271.27,94,
441,89,1,28,14,77221.77,1,
442,89,2,36,96,29984.89,35,
443,89,3,46,27,306232.38,15,
444,89,4,38,55,495327.52,3,
445,89,5,16,24,234702.92,11,
446,90,1,22,85,78873.68,18,
447,90,2,3,32,355245.71,17,
448,90,3,35,77,104030.64,63,
449,90,4,20,31,154988.63,2,
450,90,5,37,74,373370.89,1,
451,91,1,45,46,413556.66,13,
452,91,2,50,9,381230.44,8,
453,91,3,43,12,344097.05,8,
454,91,4,45,67,19361.36,33,
455,91,5,30,37,6874.64,23,
456,92,1,25,90,75958.47,20,
457,92,2,38,52,45192.22,8,
458,92,3,30,90,490435.88,10,
459,92,4,6,97,222263.11,7,
460,92,5,40,65,84480.18,19,
461,93,1,36,9,480792.22,7,
462,93,2,28,66,264397.63,65,
463,93,3,9,16,498126.39,0,
464,93,4,15,92,295365.73,37,
465,93,5,47,60,62154.34,16,
466,94,1,37,9,172208.44,9,
467,94,2,26,7,38885.01,0,
468,94,3,28,56,128832.84,9,
469,94,4,5,31,451363.12,31,
470,94,5,40,98,316191.18,52,
471,95,1,13,2,57152.65,0,
472,95,2,39,56,425814.01,36,
473,95,3,19,22,30321.58,4,
474,95,4,27,68,447044.1,34,
475,95,5,45,23,155622.51,15,
476,96,1,10,44,5489.39,14,
477,96,2,6,75,58059.79,11,
478,96,3,31,30,364028.19,2,
479,96,4,14,21,412200.01,6,
480,96,5,43,52,382842.89,18,
481,97,1,50,25,108238.45,6,
482,97,2,14,2,434135.42,2,
483,97,3,9,90,203809.71,59,
484,97,4,26,70,406917.78,60,
485,97,5,25,57,102031.7,57,
486,98,1,18,25,494014.87,15,
487,98,2,49,9,348651.54,6,
488,98,3,29,99,133354.0,53,
489,98,4,6,19,311356.56,15,
490,98,5,14,58,411161.77,36,
491,99,1,7,100,181390.29,45,
492,99,2,42,67,295467.75,52,
493,99,3,45,47,123136.34,8,
494,99,4,3,91,74695.35,57,
495,99,5,8,37,360132.25,8,
496,100,1,42,80,129067.74,65,
497,100,2,42,55,167829.94,41,
498,100,3,40,24,467719.81,11,
499,100,4,18,80,384517.6,22,
500,100,5,29,36,44251.33,32,
501,101,1,34,81,338046.82,69,
502,101,2,37,80,25179.26,27,
503,101,3,8,43,257678.9,12,
504,101,4,14,52,400363.58,23,
505,101,5,19,40,493627.32,21,
506,102,1,18,91,69.16,7,
507,102,2,20,22,209182.71,5,
508,102,3,29,47,120561.66,27,
509,102,4,6,35,137011.15,23,
510,102,5,38,81,195001.17,75,
511,103,1,41,85,200775.4,61,
512,103,2,7,50,75221.59,46,
513,103,3,8,18,4040.37,18,
514,103,4,23,2,372126.85,1,
515,103,5,17,53,275423.62,15,
516,104,1,9,36,226256.01,22,
517,104,2,2,54,495641.93,28,
518,104,3,14,99,51648.28,7,
519,104,4,7,97,325279.63,64,
520,104,5,32,90,245061.06,8,
521,105,1,2,99,324840.08,6,
522,105,2,31,90,449434.43,6,
523,105,3,50,95,378085.39,32,
524,105,4,47,13,226155.17,0,
525,105,5,21,31,459826.03,15,
526,106,1,44,79,371942.13,51,
527,106,2,10,67,135231.36,36,
528,106,3,6,30,339639.53,8,
529,106,4,24,44,182902.37,32,
530,106,5,43,2,442927.32,1,
531,107,1,22,71,2397.99,30,
532,107,2,4,30,95255.45,11,
533,107,3,32,100,270809.97,94,
534,107,4,37,87,417327.96,64,
535,107,5,8,31,315919.87,10,
536,108,1,21,70,369452.61,36,
537,108,2,34,61,301566.5,35,
538,108,3,28,80,499380.2,59,
539,108,4,7,91,347921.39,78,
540,108,5,43,19,452757.18,12,
541,109,1,32,85,223943.32,30,
542,109,2,25,93,256946.26,45,
543,109,3,5,41,335218.64,39,
544,109,4,12,14,173719.38,13,
545,109,5,49,54,147843.78,5,
546,110,1,48,55,114578.34,18,
547,110,2,16,56,286362.0,39,
548,110,3,30,16,150605.15,7,
549,110,4,19,93,407775.3,12,
550,110,5,46,5,210030.57,3,
551,111,1,34,75,199762.8,39,
552,111,2,28,54,350653.06,19,
553,111,3,16,81,468042.04,37,
554,111,4,37,26,173537.72,8,
555,111,5,18,87,211200.15,12,
556,112,1,36,2,27415.57,2,
557,112,2,7,45,193013.28,23,
558,112,3,18,48,263623.66,34,
559,112,4,16,97,337032.23,81,
560,112,5,41,23,438701.52,21,
561,113,1,35,62,49595.38,62,
562,113,2,23,22,339994.08,18,
563,113,3,35,99,157135.61,49,
564,113,4,48,42,273337.11,17,
565,113,5,36,99,253736.87,65,
566,114,1,7,15,149141.77,2,
567,114,2,41,30,221398.94,19,
568,114,3,5,95,105803.25,95,
569,114,4,1,56,133949.65,41,
570,114,5,31,81,320419.04,35,
571,115,1,15,86,234071.13,21,
572,115,2,15,81,279132.69,55,
573,115,3,45,84,193779.03,62,
574,115,4,35,37,416137.5,22,
575,115,5,39,36,391973.17,4,
576,116,1,36,98,227718.65,8,
577,116,2,10,39,321384.27,34,
578,116,3,41,46,120347.75,22,
579,116,4,10,84,283891.42,80,
580,116,5,8,76,287923.59,76,
581,117,1,32,97,419544.23,73,
582,117,2,38,26,120532.63,6,
583,117,3,8,62,153740.95,41,
584,117,4,38,81,475703.3,73,
585,117,5,26,69,160786.09,52,
586,118,1,5,53,432710.36,30,
587,118,2,37,59,424653.15,50,
588,118,3,13,87,462840.9,80,
589,118,4,29,92,137231.37,56,
590,118,5,33,51,393804.77,1,
591,119,1,47,13,358740.16,13,
592,119,2,41,57,103896.56,37,
593,119,3,38,76,37721.27,0,
594,119,4,50,54,170172.57,5,
595,119,5,27,43,369732.73,42,
596,120,1,18,62,323624.78,55,
597,120,2,43,7,436696.18,4,
598,120,3,31,54,282051.65,22,
599,120,4,29,31,234269.86,17,
600,120,5,25,25,37222.45,8,
601,121,1,43,41,255173.38,23,
602,121,2,8,74,383283.88,52,
603,121,3,31,90,327568.76,15,
604,121,4,41,90,409086.34,18,
605,121,5,17,96,18078.36,7,
606,122,1,39,16,227992.52,2,
607,122,2,28,99,253658.16,20,
608,122,3,32,72,7730.22,5,
609,122,4,23,33,441205.51,2,
610,122,5,26,70,302049.6,40,
611,123,1,24,21,480587.4,14,
612,123,2,23,58,73097.49,40,
613,123,3,47,42,352284.11,18,
614,123,4,23,41,30617.45,6,
615,123,5,4,77,355447.09,9,
616,124,1,1,2,188549.03,1,
617,124,2,47,50,41447.97,43,
618,124,3,40,68,3408.66,20,
619,124,4,37,21,99846.32,11,
620,124,5,20,100,316446.82,39,
621,125,1,27,94,459867.83,6,
622,125,2,14,92,191155.24,63,
623,125,3,46,37,288631.76,36,
624,125,4,44,76,309761.8,32,
625,125,5,50,45,58002.09,7,
626,126,1,9,96,306801.73,78,
627,126,2,38,63,316678.07,20,
628,126,3,24,21,169197.17,3,
629,126,4,44,58,78186.17,43,
630,126,5,25,54,419258.66,31,
631,127,1,9,35,472252.51,20,
632,127,2,42,58,366476.47,55,
633,127,3,10,26,342967.07,22,
634,127,4,11,3,152549.31,3,
635,127,5,15,55,453475.28,2,
636,128,1,33,20,63215.68,13,
637,128,2,45,82,22698.2,45,
638,128,3,22,92,378472.15,77,
639,128,4,5,6,191500.95,6,
640,128,5,48,59,309890.25,22,
641,129,1,17,49,107540.88,0,
642,129,2,19,92,322677.89,39,
643,129,3,12,1,191379.79,1,
644,129,4,48,46,168650.07,43,
645,129,5,39,29,308678.5,5,
646,130,1,34,3,382411.77,0,
647,130,2,25,79,33355.89,37,
648,130,3,4,21,210741.06,9,
649,130,4,28,40,181919.02,20,
650,130,5,14,59,445025.13,7,
651,131,1,27,82,169310.03,71,
652,131,2,32,64,150135.23,35,
653,131,3,29,71,200441.8,66,
654,131,4,32,10,454761.49,4,
655,131,5,41,94,101476.75,4,
656,132,1,18,31,227448.22,27,
657,132,2,41,5,309099.58,2,
658,132,3,18,12,371018.37,12,
659,132,4,45,27,159982.39,24,
660,132,5,50,62,79674.86,38,
661,133,1,1,64,238134.47,62,
662,133,2,11,73,352894.44,70,
663,133,3,30,92,473576.87,10,
664,133,4,6,35,481457.35,31,
665,133,5,6,86,265262.97,57,
666,134,1,17,35,382548.96,0,
667,134,2,46,84,94069.87,67,
668,134,3,24,22,190648.89,5,
669,134,4,12,59,257527.93,6,
670,134,5,24,79,481495.17,12,
671,135,1,4,68,68095.65,61,
672,135,2,44,32,356216.29,26,
673,135,3,11,50,439273.8,16,
674,135,4,30,79,66019.55,30,
675,135,5,35,37,32535.86,12,
676,136,1,47,12,102766.23,4,
677,136,2,36,78,308988.6,74,
678,136,3,41,15,272408.63,10,
679,136,4,13,88,125085.31,46,
680,136,5,30,7,101415.43,1,
681,137,1,18,18,458047.56,6,
682,137,2,40,88,395801.76,17,
683,137,3,42,1,28465.68,0,
684,137,4,35,39,376066.61,3,
685,137,5,48,50,160277.66,40,
686,138,1,20,10,185047.9,8,
687,138,2,34,61,291270.02,9,
688,138,3,9,13,278886.05,13,
689,138,4,45,28,421193.47,22,
690,138,5,12,92,327682.04,38,
691,139,1,29,1,11030.12,0,
692,139,2,36,68,490947.15,50,
693,139,3,33,76,72806.38,63,
694,139,4,33,98,101454.19,50,
695,139,5,3,32,169582.45,30,
696,140,1,9,55,295934.22,41,
697,140,2,46,71,68419.5,62,
698,140,3,48,97,290305.39,22,
699,140,4,28,38,16554.39,35,
700,140,5,9,20,334153.95,17,
701,141,1,33,28,341579.43,6,
702,141,2,19,18,59931.91,12,
703,141,3,49,70,309978.79,15,
704,141,4,9,34,450084.16,16,
705,141,5,40,30,271473.18,8,
706,142,1,34,41,389406.31,19,
707,142,2,30,44,36521.53,30,
708,142,3,35,87,292293.3,31,
709,142,4,42,17,204657.4,3,
710,142,5,31,31,200608.11,11,
711,143,1,20,43,93259.69,36,
712,143,2,28,61,371100.89,4,
713,143,3,27,23,139655.95,13,
714,143,4,2,96,493160.32,53,
715,143,5,45,60,314494.31,38,
716,144,1,17,79,416568.32,36,
717,144,2,34,69,487609.39,11,
718,144,3,16,3,11256.29,0,
719,144,4,9,23,303757.82,14,
720,144,5,12,36,269055.64,17,
721,145,1,50,62,86584.74,20,
722,145,2,13,18,130454.14,11,
723,145,3,1,41,261821.67,37,
724,145,4,24,74,426706.89,41,
725,145,5,10,12,171040.74,2,
726,146,1,11,3,90442.26,1,
727,146,2,45,21,391488.71,15,
728,146,3,34,59,205913.81,2,
729,146,4,24,65,67008.19,41,
730,146,5,4,82,221224.83,75,
731,147,1,27,38,199906.13,14,
732,147,2,11,93,383679.76,92,
733,147,3,24,87,115863.44,13,
734,147,4,2,92,112401.07,11,
735,147,5,3,16,128001.53,5,
736,148,1,23,10,120650.21,7,
737,148,2,20,33,475937.21,31,
738,148,3,13,5,412149.01,1,
739,148,4,34,23,222963.52,20,
740,148,5,49,44,281707.8,24,
741,149,1,43,1,288303.58,1,
742,149,2,23,27,493036.11,2,
743,149,3,50,42,258187.13,38,
744,149,4,49,78,12691.32,73,
745,149,5,37,51,496507.83,31,
746,150,1,24,82,476448.31,58,
747,150,2,30,59,21557.91,3,
748,150,3,47,54,29062.42,14,
749,150,4,5,65,495637.36,49,
750,150,5,10,8,278746.03,0,
751,151,1,34,27,43132.66,18,
752,151,2,32,68,470655.18,18,
753,151,3,4,15,236998.01,12,
754,151,4,14,58,401174.66,42,
755,151,5,26,63,181984.23,20,
756,152,1,13,83,120058.21,49,
757,152,2,11,76,455007.03,35,
758,152,3,46,48,463022.84,30,
759,152,4,13,36,38898.44,22,
760,152,5,1,57,113096.37,11,
761,153,1,24,67,98019.38,2,
762,153,2,47,71,143829.87,42,
763,153,3,4,33,366601.01,27,
764,153,4,23,23,399917.6,17,
765,153,5,11,51,352267.3,30,
766,154,1,20,19,54831.66,11,
767,154,2,36,83,183009.83,65,
768,154,3,32,74,152006.66,60,
769,154,4,44,5,187627.75,3,
770,154,5,37,72,65406.74,44,
771,155,1,40,41,15718.5,4,
772,155,2,30,47,235557.88,18,
